Date,Korea_KOSPI,Swiss_SMI,Swiss_Returns,Korea_Returns,Korea_News_Sentiment
2026-06-01,8788.3798828125,13305.400390625,-0.0176747174534184,0.0361739976744723,0.0
2026-06-02,8801.490234375,13305.7197265625,2.400018759899453e-05,0.0014906709262621,0.0
2026-06-03,8801.490234375,13218.3203125,-0.0065902276014221,0.0,0.0
2026-06-04,8639.41015625,13341.26953125,0.0092584334114238,-0.0185867404293001,0.0
2026-06-05,8160.58984375,13388.23046875,0.0035137945579163,-0.0570178603961053,0.0
2026-06-08,7484.41015625,13320.990234375,-0.0050349935083329,-0.0864942398106578,0.0
2026-06-09,8096.93017578125,13356.3095703125,0.0026478959139374,0.0786627878727745,0.0
2026-06-10,7730.81982421875,13463.330078125,0.0079807989409421,-0.0462700847565132,0.0
2026-06-11,7763.9501953125,13529.650390625,0.0049139031554297,0.0042763360204812,0.0
2026-06-12,8123.6201171875,13708.01953125,0.0130974265386556,0.0452846315990243,0.0
2026-06-15,8545.98046875,13717.5400390625,0.000694279959577,0.0506851697313008,0.0
2026-06-16,8726.599609375,13761.5302734375,0.0032017292764011,0.0209147358092021,0.0
2026-06-17,8864.240234375,13815.240234375,0.0038953095567148,0.0156494442886724,0.0
2026-06-18,9063.83984375,13765.830078125,-0.0035829073018268,0.0222676221892441,0.0
2026-06-19,9052.419921875,13774.01953125,0.0005947347921321,-0.0012607374298411,0.0
2026-06-22,9114.5498046875,13848.509765625,0.0053934535934039,0.0068398996610148,0.0
2026-06-23,8203.83984375,13910.7001953125,0.0044807135234526,-0.1052696980192071,0.0
2026-06-24,8471.01953125,14117.75,0.0147745287079733,0.0320485528148679,0.0
2026-06-25,8930.2998046875,14231.9599609375,0.008057266121289,0.0527990959709703,0.0
2026-06-26,8411.2099609375,14172.7099609375,-0.0041718552686615,-0.0598846317489726,0.0
2026-06-29,8394.650390625,14223.900390625,0.0036053940597268,-0.0019706906192658,0.0
2026-06-30,8476.48046875,14193.919921875,-0.0021099774397248,0.0097006798787849,0.0
2026-07-01,8303.41015625,14114.0,-0.0056464858198488,-0.0206290319681753,0.0
2026-07-02,7648.08984375,14352.98046875,0.0167904062314444,-0.0822103695882364,0.0
2026-07-03,8088.33984375,14424.240234375,0.0049525221363054,0.0559675760708822,0.0
2026-07-06,8051.330078125,14302.259765625,-0.0084925905970698,-0.0045861942249797,0.0
2026-07-07,7656.31005859375,14360.4501953125,0.0040603634278411,-0.0503071527762634,0.0
2026-07-08,7246.7900390625,14174.349609375,-0.0130439481525059,-0.0549715345123169,0.0
2026-07-09,7291.91015625,14215.2998046875,0.0028848699831278,0.0062069182855105,0.0
2026-07-10,7475.93994140625,14235.08984375,0.001391196570514,0.0249243201661021,0.0
2026-07-13,6806.93017578125,14266.1796875,0.0021816471050273,-0.0937486193361384,0.0
2026-07-14,6856.830078125,14241.76953125,-0.0017125161847564,0.0073040105003286,0.0
2026-07-15,7284.41015625,14307.3095703125,0.0045914023332683,0.0604912222796901,0.0
2026-07-16,6820.60009765625,14267.1904296875,-0.0028080398248024,-0.0657890106420749,0.0
2026-07-17,6820.60009765625,14343.7001953125,0.0053483094255355,0.0,0.0
2026-07-20,6516.27001953125,14254.3603515625,-0.0062479855398402,-0.0456453295003641,0.0
2026-07-21,6747.9501953125,14298.259765625,0.0030749856561929,0.0349366546546747,0.0
2026-07-22,6797.7001953125,14315.8798828125,0.0012315673042143,0.0073455644082283,0.0
2026-07-23,7096.89013671875,14214.9501953125,-0.007075161027608,0.0430723307748647,0.0
2026-07-24,6690.6201171875,14327.2001953125,0.007865600677152,-0.0589501161840086,0.0
2026-07-27,6755.75,14421.9697265625,0.006592877274618,0.0096874311199342,0.0
2026-07-28,6023.66015625,14571.330078125,0.0103031854844531,-0.1146989201753502,0.0
2026-07-29,5663.240234375,14486.099609375,-0.0058663628610494,-0.0616988659583393,0.0
2026-07-30,5593.56005859375,14392.490234375,-0.0064829829549032,-0.0123802615238061,0.0
2026-07-31,6595.4501953125,14346.1396484375,-0.0032256670771042,0.1647641005060069,0.0
2026-08-03,6257.4501953125,14371.76953125,0.0017849411986714,-0.0526072618717742,0.0
2026-08-04,6358.9501953125,14463.23046875,0.006343765855693,0.0160905150042641,0.0
2026-08-05,6598.259765625,14551.5595703125,0.0060885758133897,0.036942642292419,0.0
2026-08-06,6296.3798828125,14518.75,-0.0022572572998656,-0.0468310959265107,0.0
2026-08-07,6258.77001953125,14544.91015625,0.001800197440663,-0.0059911631595325,0.0
2026-08-10,6299.66015625,14633.7001953125,0.0060859864162198,0.0065120051863095,0.0
2026-08-11,6345.52978515625,14575.25,-0.0040022166453522,0.0072549056691348,0.0
2026-08-12,6579.0400390625,14449.4697265625,-0.0086671679867301,0.0361382498149143,0.0
2026-08-13,6813.33984375,14475.1298828125,0.0017742795632919,0.0349935882333893,0.0
2026-08-14,6977.93994140625,14390.669921875,-0.005851921826963,0.0238713036707944,0.0
2026-08-17,6977.93994140625,14302.3896484375,-0.0061534429105411,0.0,0.0
2026-08-18,6869.830078125,14320.900390625,0.0012934044089817,-0.0156143638473483,0.0
2026-08-19,6471.169921875,14386.580078125,0.0045757970415494,-0.0597824573182392,0.0
2026-08-20,6852.580078125,14368.16015625,-0.0012811748076604,0.0572683203860452,0.0
2026-08-21,6912.9501953125,14456.98046875,0.0061627171062113,0.008771257341417,0.0
2026-08-24,6696.9599609375,14447.1904296875,-0.0006774136141997,-0.0317428061866602,0.0
2026-08-25,6742.740234375,14525.2900390625,0.0053913090824797,0.0068127190099848,0.0
2026-08-26,6808.2099609375,14542.900390625,0.0012116580672332,0.009662825857702,0.0
2026-08-27,6912.3701171875,14384.3701171875,-0.0109607203008852,0.0151833459937256,0.0
2026-08-28,6788.8798828125,14399.76953125,0.001069993108691,-0.018026614865145,0.0
2026-08-31,6820.02001953125,14286.4296875,-0.0079020878756609,0.0045764450163814,0.0
2026-09-01,6835.7998046875,14334.7900390625,0.0033793386897667,0.0023110721117827,0.0
2026-09-02,6562.72021484375,14362.9697265625,0.0019638952160233,-0.0407682954756315,0.0
2026-09-03,6579.47998046875,14394.76953125,0.0022115658928226,0.0025505279879142,0.0
2026-09-04,6687.2099609375,14395.9404296875,8.133862900467282e-05,0.0162410290642351,0.0
2026-09-07,6995.39013671875,14279.3798828125,-0.0081297218363613,0.0450546392629391,0.0
2026-09-08,6954.52001953125,14057.6103515625,-0.0156526192284198,-0.0058595695123138,0.0
2026-09-09,7051.64013671875,13804.7001953125,-0.018154783129286,0.0138684225679512,0.0
2026-09-10,7033.919921875,13740.099609375,-0.0046905916789241,-0.0025160837224006,0.0
2026-09-11,6909.91015625,13829.7998046875,0.0065071337750015,-0.017787513845496,0.0
